month,Beginning Stocks,Production,Imports," Supply, Total",Domestic Disappearance,Biofuel,"Food,Feed&other Industrial",Exports,"Use, Total",Ending Stocks,Avg. Farm Price (c/lb),Stock to Use
2008/2009,,,,,,,,,,,,
201007,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201008,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201009,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201010,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201011,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201012,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201101,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201102,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201103,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
201104,2485.0,18745,90.0,21319.0,16265.0,,,2193.0,18459.0,2861.0,32.16,0.15499214475323692
2009/2010,,,,,,,,,,,,
201007,2861.0,"19,500 ",105.0,22466.0,16300.0,,,3250.0,19550.0,2916.0,35.5,0.14915601023017902
201008,2861.0,"19,555 ",110.0,22526.0,16100.0,,,3250.0,19350.0,3176.0,35.5,0.1641343669250646
201009,2861.0,"19,535 ",110.0,22506.0,15950.0,,,3350.0,19300.0,3206.0,35.75,0.1661139896373057
201010,2861.0,19555,110.0,22526.0,15950.0,,,3400.0,19350.0,3176.0,35.67,0.1641343669250646
201011,2861.0,19615,105.0,22581.0,15822.0,,,3400.0,19222.0,3358.0,35.95,0.174695661221517
201012,2861.0,19614,103.0,22577.0,15863.0,,,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201101,2861.0,19614,103.0,22577.0,15863.0,,,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201102,2861.0,19614,103.0,22577.0,15863.0,,,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201103,2861.0,19614,103.0,22577.0,15863.0,,,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201104,2861.0,19614,103.0,22577.0,15863.0,,,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201105,2861.0,19614,103.0,22577.0,15863.0,,14182,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201106,2861.0,19614,103.0,22577.0,15863.0,,14182,3357.0,19219.0,3358.0,35.95,0.17472293043342527
201107,2861.0,19615,103.0,22578.0,15816.0,,14136,3357.0,19173.0,3406.0,35.95,0.1776456475251656
201108,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201109,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201110,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201111,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201112,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201201,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201202,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201203,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
201204,2861.0,19615,103.0,22578.0,15814.0,,14134,3359.0,19173.0,3406.0,35.95,0.1776456475251656
2010/2011,,,,,,,,,,,,
201007,2916.0,18755,115.0,21786.0,17300.0,,,2100.0,19400.0,2386.0,34.00 - 38.00,0.12298969072164949
201008,3176.0,18810,115.0,22101.0,17400.0,,,2100.0,19500.0,2601.0,36.50 - 40.50,0.13338461538461538
201009,3206.0,18810,115.0,22131.0,17400.0,,,2100.0,19500.0,2631.0,37.50 - 41.50,0.13492307692307692
201010,3176.0,18980,115.0,22271.0,17400.0,,,2500.0,19900.0,2371.0,39.50 - 43.50,0.11914572864321608
201011,3358.0,18980,115.0,22453.0,17100.0,,,2700.0,19800.0,2653.0,42.50 - 46.50,0.133989898989899
201012,3358.0,18980,115.0,22453.0,17100.0,,,2700.0,19800.0,2653.0,45.00 - 49.00,0.133989898989899
201101,3358.0,19000,115.0,22473.0,17100.0,,,2700.0,19800.0,2673.0,48.00 - 52.00,0.135
201102,3358.0,19000,115.0,22473.0,17100.0,,,2800.0,19900.0,2573.0,51.00 - 55.00,0.1292964824120603
201103,3358.0,19035,115.0,22508.0,17100.0,,,3000.0,20100.0,2408.0,51.50 - 55.50,0.11980099502487562
201104,3358.0,19025,175.0,22558.0,17100.0,,,3100.0,20200.0,2358.0,53.00 - 55.00,0.11673267326732674
201105,3358.0,"19,040 ",175.0,22573.0,16800.0,,14300,3300.0,20100.0,2473.0,53.5,0.12303482587064676
201106,3358.0,19090,175.0,22623.0,16600.0,,14200,3200.0,19800.0,2823.0,54,0.14257575757575758
201107,3406.0,19090,175.0,22671.0,16600.0,,14300,3200.0,19800.0,2871.0,53.5,0.145
201108,3406.0,19035,175.0,22616.0,16600.0,,14450,3200.0,19800.0,2816.0,53.25,0.14222222222222222
201109,3406.0,19075,160.0,22641.0,16600.0,,14200,3200.0,19800.0,2841.0,53.25,0.1434848484848485
201110,3406.0,19050,160.0,22616.0,16600.0,,14100,3200.0,19800.0,2816.0,53.2,0.14222222222222222
201111,3406.0,18888,160.0,22454.0,16779.0,,14229,3250.0,20029.0,2425.0,53.2,0.12107444205901442
201112,3406.0,18888,159.0,22453.0,16795.0,,14245,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201201,3406.0,18888,159.0,22453.0,16795.0,,14245,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201202,3406.0,18888,159.0,22453.0,16795.0,,14245,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201203,3406.0,18888,159.0,22453.0,16795.0,,14245,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201204,3406.0,18888,159.0,22453.0,16795.0,,14245,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201205,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201206,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201207,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201208,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201209,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201210,3406.0,18888,159.0,22453.0,16795.0,,,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201211,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201212,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201301,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201302,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201303,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
201304,3406.0,18888,159.0,22453.0,16795.0,2737,14058,3233.0,20028.0,2425.0,53.2,0.12108048731775514
2011/2012,,,,,,,,,,,,
201105,2473.0,18900,185.0,21558.0,17950.0,,14450,1600.0,19550.0,2008.0,56.00 - 60.00,0.10271099744245524
201106,2823.0,18900,185.0,21908.0,17950.0,,14450,1800.0,19750.0,2158.0,58.00 - 62.00,0.10926582278481013
201107,2871.0,18900,185.0,21956.0,17950.0,,14450,1800.0,19750.0,2206.0,54.00 - 58.00,0.11169620253164557
201108,2816.0,18670,185.0,21671.0,18050.0,,14550,1650.0,19700.0,1971.0,54.50 - 58.50,0.1000507614213198
201109,2841.0,18670,185.0,21696.0,17750.0,,14150,1800.0,19550.0,2146.0,55.00 - 59.00,0.10976982097186701
201110,2816.0,18670,185.0,21671.0,17700.0,,14100,1800.0,19500.0,2171.0,53.00 - 57.00,0.11133333333333334
201111,2425.0,18670,185.0,21280.0,17700.0,,14100,1500.0,19200.0,2080.0,53.00 - 57.00,0.10833333333333334
201112,2425.0,18770,185.0,21380.0,17700.0,,14100,1400.0,19100.0,2280.0,50.50 - 54.50,0.1193717277486911
201201,2425.0,18605,185.0,21215.0,17700.0,,14100,1200.0,18900.0,2315.0,50.50 - 54.50,0.12248677248677249
201202,2425.0,18605,185.0,21215.0,17700.0,,14100,1200.0,18900.0,2315.0,50.50 - 54.50,0.12248677248677249
201203,2425.0,18605,185.0,21215.0,17600.0,,14000,1200.0,18800.0,2415.0,50.50 - 54.50,0.12845744680851065
201204,2425.0,18780,185.0,21390.0,17900.0,,13900,1200.0,19100.0,2290.0,52.50 - 54.50,0.11989528795811519
201205,2425.0,19055,185.0,21665.0,17900.0,,,1200.0,19100.0,2565.0,53.5,0.1342931937172775
201206,2425.0,19280,185.0,21890.0,18100.0,,,1200.0,19300.0,2590.0,51.5,0.13419689119170986
201207,2425.0,19450,185.0,22060.0,18100.0,,,1300.0,19400.0,2660.0,51.75,0.13711340206185568
201208,2425.0,19625,185.0,22235.0,18300.0,,,1350.0,19650.0,2585.0,51.75,0.13155216284987278
201209,2425.0,19795,150.0,22370.0,18200.0,,,1450.0,19650.0,2720.0,52,0.13842239185750635
201210,2425.0,19795,150.0,22370.0,18300.0,,,1450.0,19750.0,2620.0,51.9,0.13265822784810127
201211,2425.0,19740,149.0,22314.0,18310.0,4900,13410,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201212,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201301,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201302,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201303,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201304,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201305,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
201306,2425.0,19740,149.0,22314.0,18310.0,4870,13440,1464.0,19774.0,2540.0,51.9,0.12845150197228683
